# fields=11 strings=0,1,3,10
"otar","Durotar",14,"Durotar",3304411135,3319959551,1155664554,3302397269,4294967295,0,""
"Mulgore","Durotar",215,"Mulgore",1157627221,3309377877,3280500053,3311869610,4294967295,0,""
"lgore","Durotar",17,"Barrens",1159982762,3320492885,1154060287,3315645952,4294967295,0,""
"ore","Durotar",0,"Kalimdor",1183143219,3331992172,1179123610,3325515059,4294967295,0,""
"re","",0,"Azeroth",1183709169,3333444204,1177461088,3329856864,4294967295,0,""
"e","",36,"Alterac",1145296213,3304854869,1153138688,3283572053,4294967295,0,""
"","",45,"Arathi",3294145194,3314259285,3271906645,3307099477,4294967295,0,""
"Barrens","",3,"Badlands",3305239210,3314464085,3317173418,3320569685,4294967295,0,""
"rrens","",4,"BlastedLands",3298506069,3314515285,3324320426,3326607360,4294967295,0,""
"rens","",85,"Tirisfal",1161663829,3300502869,1164957695,1145978879,4294967295,0,""
"ens","",130,"Silverpine",1163370495,3292233728,1154504021,3297618602,4294967295,0,""
"ns","",28,"WesternPlaguelands",1137726805,3312629077,1163029162,1140457471,4294967295,0,""
"s","",139,"EasternPlaguelands",3306092544,3318052352,1164411562,1149119146,4294967295,0,""
"","",267,"Hilsbrad",1149588821,3305461077,1137180672,3302533802,4294967295,0,""
"alimdor","",47,"Hinterlands",3301236736,3316221952,1152865621,3297345536,4294967295,0,""
"limdor","",1,"DunMorogh",1155613354,3309514410,3312603477,3319776085,4294967295,0,""
"imdor","",51,"SearingGorge",3282138453,3307184810,3317604352,3320650751,4294967295,0,""
"mdor","",46,"BurningSteppes",3280295253,3309813077,3319511551,3322699093,4294967295,0,""
"dor","",12,"Elwynn",1153428821,3304189269,3321371818,3324000426,4294967295,0,""
"r","",41,"DeadwindPass",3293599061,3310376277,3323603626,3325310293,4294967295,0,""
"Azeroth","",10,"Duskwood",1146115413,3303626069,3323450026,3325293226,4294967295,0,""
"zeroth","",38,"LochModan",3304667135,3314843818,3314301952,3318069418,4294967295,0,""
"eroth","",44,"Redridge",3301202602,3312048810,3322280960,3323763626,4294967295,0,""
"roth","",33,"Stranglethorn",1158335829,3313632085,3324936960,3329293226,4294967295,0,""
"oth","",8,"SwampOfSorrows",3305828010,3314361685,3323351893,3324917760,4294967295,0,""
"th","",40,"Westfall",1161595562,3287394986,3323125760,3325515093,4294967295,0,""
"h","",11,"Wetlands",3284322986,3314378752,3305520810,3315155285,4294967295,0,""
"","Durotar",141,"Teldrassil",1164863829,3298796202,1178131712,1174656512,4294967295,0,""
"Alterac","Durotar",148,"Darkshore",1161288362,3311502677,1174549845,1165486762,4294967295,0,""
"lterac","Durotar",331,"Ashenvale",1154777087,3313380010,1167198037,1146047146,4294967295,0,""
"ands","Durotar",400,"ThousandNeedles",3285756586,3315010218,3312970410,3319242751,4294967295,0,""
"risfal","Durotar",406,"StonetalonMountains",1162534229,3301748735,1161185962,3282684586,4294967295,0,""
"sternPlaguelands","Durotar",405,"Desolace",1166297770,3280158720,1138887338,3307150677,4294967295,0,""
"ternPlaguelands","Durotar",357,"Feralas",1168772437,3300690602,3306416810,3319447551,4294967295,0,""
"brad","Durotar",15,"Dustwallow",3295920127,3317860352,3304991402,3316443818,4294967295,0,""
"Morogh","Durotar",440,"Tanaris",3277504511,3319690751,3317143552,3324226560,4294967295,0,""
"BurningSteppes","Durotar",16,"Aszhara",3310145877,3322048426,1168567637,1156910421,4294967295,0,""
"urningSteppes","Durotar",361,"Felwood",1154299221,3313525418,1172236970,1162756095,4294967295,0,""
